公司代號,公司名稱,統一編號,_統一編號
104,臺銀綜合證券股份有限公司,"	28428390","_	28428390"
2465,麗臺科技股份有限公司,"	22325002","_	22325002"
2466,冠西電子企業股份有限公司,"	34348590","_	34348590"
2467,志聖工業股份有限公司,"	07618057","_	07618057"
2468,華經資訊企業股份有限公司,"	12115702","_	12115702"
2471,資通電腦股份有限公司,"	20873360","_	20873360"
2472,立隆電子工業股份有限公司,"	52358985","_	52358985"
2474,可成科技股份有限公司,"	69905810","_	69905810"
2475,中華映管股份有限公司,"	11085292","_	11085292"
2476,鉅祥企業股份有限公司,"	04403568","_	04403568"
2477,美隆工業股份有限公司,"	33750329","_	33750329"
2478,大毅科技股份有限公司,"	23534301","_	23534301"
2480,敦陽科技股份有限公司,"	84218848","_	84218848"
2481,強茂股份有限公司,"	22145016","_	22145016"
2482,連宇股份有限公司,"	38430938","_	38430938"
2483,百容電子股份有限公司,"	52753108","_	52753108"
2484,希華晶體科技股份有限公司,"	22771229","_	22771229"
2485,兆赫電子股份有限公司,"	12320400","_	12320400"
2486,一詮精密工業股份有限公司,"	35866232","_	35866232"
2488,漢平電子工業股份有限公司,"	68889236","_	68889236"
2489,瑞軒科技股份有限公司,"	84929896","_	84929896"
2491,吉祥全球實業股份有限公司,"	89380545","_	89380545"
2492,華新科技股份有限公司,"	19004316","_	19004316"
2493,揚博科技股份有限公司,"	30929883","_	30929883"
2495,普安科技股份有限公司,"	84166074","_	84166074"
2496,卓越成功股份有限公司,"	22099786","_	22099786"
2497,怡利電子工業股份有限公司,"	59334664","_	59334664"
2498,宏達國際電子股份有限公司,"	16003518","_	16003518"
2499,東貝光電科技股份有限公司,"	84412694","_	84412694"
2501,國泰建設股份有限公司,"	03374306","_	03374306"
2504,國產建材實業股份有限公司,"	24060203","_	24060203"
2505,國揚實業股份有限公司,"	11603817","_	11603817"
2506,太平洋建設股份有限公司,"	11099009","_	11099009"
2509,全坤建設開發股份有限公司,"	04921056","_	04921056"
2511,太子建設開發股份有限公司,"	72058206","_	72058206"
2514,龍邦國際興業股份有限公司,"	22817273","_	22817273"
2515,中華工程股份有限公司,"	75094900","_	75094900"
2516,新亞建設開發股份有限公司,"	11762504","_	11762504"
2520,冠德建設股份有限公司,"	30900892","_	30900892"
2524,京城建設股份有限公司,"	06667446","_	06667446"
2527,宏璟建設股份有限公司,"	22344508","_	22344508"
2528,皇普建設股份有限公司,"	81271967","_	81271967"
2530,大華建設股份有限公司,"	11059409","_	11059409"
2534,宏盛建設股份有限公司,"	22221180","_	22221180"
2535,達欣工程股份有限公司,"	18997007","_	18997007"
2536,宏普建設股份有限公司,"	23113054","_	23113054"
2537,聯上開發股份有限公司,"	22659295","_	22659295"
2538,基泰建設股份有限公司,"	12251662","_	12251662"
2539,櫻花建設股份有限公司,"	22491640","_	22491640"
2540,愛山林建設開發股份有限公司,"	22190686","_	22190686"
2542,興富發建設股份有限公司,"	12305479","_	12305479"
2543,皇昌營造股份有限公司,"	34342717","_	34342717"
2545,皇翔建設股份有限公司,"	86379024","_	86379024"
2546,根基營造股份有限公司,"	43876760","_	43876760"
2547,日勝生活科技股份有限公司,"	12373243","_	12373243"
2548,華固建設股份有限公司,"	23358846","_	23358846"
2549,遠揚建設股份有限公司,"	36538005","_	36538005"
2557,泛亞工程建設股份有限公司,"	11367406","_	11367406"
2568,世正開發股份有限公司,"	86386622","_	86386622"
2579,鈺通營造工程股份有限公司,"	22298292","_	22298292"
2580,遠揚營造工程股份有限公司,"	05117325","_	05117325"
2589,承隆能源科技股份有限公司,"	22705087","_	22705087"
2596,綠意開發股份有限公司,"	12860948","_	12860948"
2597,潤弘精密工程事業股份有限公司,"	66394146","_	66394146"
2599,樂揚建設股份有限公司,"	84271110","_	84271110"
2601,益航股份有限公司,"	03353007","_	03353007"
2603,長榮海運股份有限公司,"	11337775","_	11337775"
2605,新興航運股份有限公司,"	11812103","_	11812103"
2606,裕民航運股份有限公司,"	47067419","_	47067419"
2607,長榮國際儲運股份有限公司,"	04406559","_	04406559"
2608,嘉里大榮物流股份有限公司,"	51015548","_	51015548"
2609,陽明海運股份有限公司,"	04200199","_	04200199"
2610,中華航空股份有限公司,"	11145904","_	11145904"
2611,志信國際股份有限公司,"	33853232","_	33853232"
2612,中國航運股份有限公司,"	43778070","_	43778070"
2613,中國貨櫃運輸股份有限公司,"	39014517","_	39014517"
2614,東森國際股份有限公司,"	04964250","_	04964250"
2615,萬海航運股份有限公司,"	11395000","_	11395000"
2616,山隆通運股份有限公司,"	33983853","_	33983853"
2617,台灣航業股份有限公司,"	03564713","_	03564713"
2618,長榮航空股份有限公司,"	23225229","_	23225229"
2619,新竹物流股份有限公司,"	46480100","_	46480100"
2621,立榮航空股份有限公司,"	22958771","_	22958771"
2630,亞洲航空股份有限公司,"	11381701","_	11381701"
2633,台灣高速鐵路股份有限公司,"	16446274","_	16446274"
2634,漢翔航空工業股份有限公司,"	97160544","_	97160544"
2636,台驊國際投資控股股份有限公司,"	22358734","_	22358734"
2637,慧洋海運股份有限公司,"	25637751","_	25637751"
2640,台灣大車隊股份有限公司,"	27767961","_	27767961"
2641,正德海運股份有限公司,"	16467798","_	16467798"
2642,台灣宅配通股份有限公司,"	70624227","_	70624227"
2643,捷迅股份有限公司,"	12479610","_	12479610"
2701,萬華企業股份有限公司,"	15415013","_	15415013"
2702,華園飯店股份有限公司,"	75560601","_	75560601"
2704,國賓大飯店股份有限公司,"	11636802","_	11636802"
2705,六福開發股份有限公司,"	11081274","_	11081274"
2706,第一華僑大飯店股份有限公司,"	11587957","_	11587957"
2707,晶華國際酒店股份有限公司,"	04268726","_	04268726"
2711,凱撒大飯店股份有限公司,"	12499670","_	12499670"
2712,遠雄悅來大飯店股份有限公司,"	23986016","_	23986016"
2716,長榮國際股份有限公司,"	12508713","_	12508713"
2718,晶悅國際飯店股份有限公司,"	12198180","_	12198180"
2719,燦星國際旅行社股份有限公司,"	80355209","_	80355209"
2721,楷捷國際投資股份有限公司,"	28975066","_	28975066"
2722,夏都國際開發股份有限公司,"	89434676","_	89434676"
2723,開曼美食達人股份有限公司,"	39682101","_	39682101"
2724,富驛酒店集團股份有限公司,"	28982799","_	28982799"
2726,雅茗天地股份有限公司,"	38634004","_	38634004"
2727,王品餐飲股份有限公司,"	84630426","_	84630426"
2729,瓦城泰統股份有限公司,"	70843031","_	70843031"
2730,美麗信酒店股份有限公司,"	80674294","_	80674294"
2731,雄獅旅行社股份有限公司,"	04655091","_	04655091"
