公司代號,_公司代號,公司名稱,統一編號,_統一編號,市場別
1439,_1439,雋揚國際股份有限公司,11113403,_	11113403,上市
1440,_1440,臺南紡織股份有限公司,68919301,_	68919301,上市
1441,_1441,大東紡織股份有限公司,51037304,_	51037304,上市
1442,_1442,名軒開發股份有限公司,4615057,_	04615057,上市
1443,_1443,立益物流開發股份有限公司,4287483,_	04287483,上市
1444,_1444,力麗企業股份有限公司,7663290,_	07663290,上市
1445,_1445,大宇紡織股份有限公司,7015014,_	07015014,上市
1446,_1446,宏和精密紡織股份有限公司,73641170,_	73641170,上市
1447,_1447,力鵬企業股份有限公司,33955322,_	33955322,上市
1449,_1449,佳和實業股份有限公司,72055019,_	72055019,上市
1451,_1451,年興紡織股份有限公司,22266307,_	22266307,上市
1452,_1452,宏益纖維工業股份有限公司,43121481,_	43121481,上市
1453,_1453,大將開發股份有限公司,7617901,_	07617901,上市
1454,_1454,台灣富綢纖維股份有限公司,4301794,_	04301794,上市
1455,_1455,集盛實業股份有限公司,43295237,_	43295237,上市
1456,_1456,怡華實業股份有限公司,33144175,_	33144175,上市
1457,_1457,宜進實業股份有限公司,7669338,_	07669338,上市
1459,_1459,聯發紡織纖維股份有限公司,33653494,_	33653494,上市
1460,_1460,宏遠興業股份有限公司,22817999,_	22817999,上市
1463,_1463,強盛染整股份有限公司,7715023,_	07715023,上市
1464,_1464,得力實業股份有限公司,73686632,_	73686632,上市
1465,_1465,偉全實業股份有限公司,33700601,_	33700601,上市
1466,_1466,聚隆纖維股份有限公司,22976047,_	22976047,上市
1467,_1467,南緯實業股份有限公司,69559487,_	69559487,上市
1468,_1468,昶和纖維興業股份有限公司,36123364,_	36123364,上市
1470,_1470,大統新創股份有限公司,22267777,_	22267777,上市
1471,_1471,首利實業股份有限公司,7699023,_	07699023,上市
1472,_1472,三洋實業股份有限公司,7029919,_	07029919,上市
1473,_1473,台南企業股份有限公司,68919702,_	68919702,上市
